timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1711000854925,49420,Ask BOT,200,OK,172.19.252.206:1099-Thread Group 1-1,text,true,,1087,513,5,5,https://ica-backend-js-stage.interfacechatbotapplication.chat/app/v1/ask-bot,49420,0,32
1711000854949,49396,Ask BOT,200,OK,172.19.252.205:1099-Thread Group 1-1,text,true,,1087,513,5,5,https://ica-backend-js-stage.interfacechatbotapplication.chat/app/v1/ask-bot,49396,0,14
1711000854973,50021,Ask BOT,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: ica-backend-js-stage.interfacechatbotapplication.chat:443 failed to respond,172.19.252.204:1099-Thread Group 1-1,text,false,,2110,0,5,5,https://ica-backend-js-stage.interfacechatbotapplication.chat/app/v1/ask-bot,0,0,16
1711000854992,50019,Ask BOT,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: ica-backend-js-stage.interfacechatbotapplication.chat:443 failed to respond,172.19.252.203:1099-Thread Group 1-1,text,false,,2110,0,5,5,https://ica-backend-js-stage.interfacechatbotapplication.chat/app/v1/ask-bot,0,0,15
1711000855125,50020,Ask BOT,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: ica-backend-js-stage.interfacechatbotapplication.chat:443 failed to respond,172.19.252.206:1099-Thread Group 1-2,text,false,,2110,0,5,5,https://ica-backend-js-stage.interfacechatbotapplication.chat/app/v1/ask-bot,0,0,15
1711000855325,50018,Ask BOT,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: ica-backend-js-stage.interfacechatbotapplication.chat:443 failed to respond,172.19.252.206:1099-Thread Group 1-3,text,false,,2110,0,5,5,https://ica-backend-js-stage.interfacechatbotapplication.chat/app/v1/ask-bot,0,0,14
1711000855525,50019,Ask BOT,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: ica-backend-js-stage.interfacechatbotapplication.chat:443 failed to respond,172.19.252.206:1099-Thread Group 1-4,text,false,,2110,0,5,5,https://ica-backend-js-stage.interfacechatbotapplication.chat/app/v1/ask-bot,0,0,15
1711000855726,50018,Ask BOT,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: ica-backend-js-stage.interfacechatbotapplication.chat:443 failed to respond,172.19.252.206:1099-Thread Group 1-5,text,false,,2110,0,5,5,https://ica-backend-js-stage.interfacechatbotapplication.chat/app/v1/ask-bot,0,0,15
1711000904368,50005,Ask BOT,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: ica-backend-js-stage.interfacechatbotapplication.chat:443 failed to respond,172.19.252.206:1099-Thread Group 1-1,text,false,,2110,0,5,5,https://ica-backend-js-stage.interfacechatbotapplication.chat/app/v1/ask-bot,0,0,0
1711000905145,50014,Ask BOT,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: ica-backend-js-stage.interfacechatbotapplication.chat:443 failed to respond,172.19.252.206:1099-Thread Group 1-2,text,false,,2110,0,5,5,https://ica-backend-js-stage.interfacechatbotapplication.chat/app/v1/ask-bot,0,0,10
1711000905343,50013,Ask BOT,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: ica-backend-js-stage.interfacechatbotapplication.chat:443 failed to respond,172.19.252.206:1099-Thread Group 1-3,text,false,,2110,0,5,5,https://ica-backend-js-stage.interfacechatbotapplication.chat/app/v1/ask-bot,0,0,8
1711000905545,50012,Ask BOT,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: ica-backend-js-stage.interfacechatbotapplication.chat:443 failed to respond,172.19.252.206:1099-Thread Group 1-4,text,false,,2110,0,5,5,https://ica-backend-js-stage.interfacechatbotapplication.chat/app/v1/ask-bot,0,0,8
1711000905744,50014,Ask BOT,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: ica-backend-js-stage.interfacechatbotapplication.chat:443 failed to respond,172.19.252.206:1099-Thread Group 1-5,text,false,,2110,0,5,5,https://ica-backend-js-stage.interfacechatbotapplication.chat/app/v1/ask-bot,0,0,9
1711000955758,4467,Ask BOT,500,Internal Server Error,172.19.252.206:1099-Thread Group 1-5,text,false,,362,513,5,5,https://ica-backend-js-stage.interfacechatbotapplication.chat/app/v1/ask-bot,4467,0,15
1711000955557,4673,Ask BOT,500,Internal Server Error,172.19.252.206:1099-Thread Group 1-4,text,false,,362,513,5,5,https://ica-backend-js-stage.interfacechatbotapplication.chat/app/v1/ask-bot,4673,0,9
1711000955356,4919,Ask BOT,500,Internal Server Error,172.19.252.206:1099-Thread Group 1-3,text,false,,362,513,5,5,https://ica-backend-js-stage.interfacechatbotapplication.chat/app/v1/ask-bot,4919,0,15
1711000955160,5316,Ask BOT,500,Internal Server Error,172.19.252.206:1099-Thread Group 1-2,text,false,,362,513,5,5,https://ica-backend-js-stage.interfacechatbotapplication.chat/app/v1/ask-bot,5316,0,8
1711000954374,6305,Ask BOT,500,Internal Server Error,172.19.252.206:1099-Thread Group 1-1,text,false,,362,513,5,5,https://ica-backend-js-stage.interfacechatbotapplication.chat/app/v1/ask-bot,6305,0,8
1711000960225,1254,Ask BOT,500,Internal Server Error,172.19.252.206:1099-Thread Group 1-5,text,false,,362,513,5,5,https://ica-backend-js-stage.interfacechatbotapplication.chat/app/v1/ask-bot,1254,0,0
1711000960275,1700,Ask BOT,500,Internal Server Error,172.19.252.206:1099-Thread Group 1-3,text,false,,362,513,5,5,https://ica-backend-js-stage.interfacechatbotapplication.chat/app/v1/ask-bot,1700,0,0
1711000960476,1502,Ask BOT,500,Internal Server Error,172.19.252.206:1099-Thread Group 1-2,text,false,,362,513,5,5,https://ica-backend-js-stage.interfacechatbotapplication.chat/app/v1/ask-bot,1502,0,0
1711000960679,1593,Ask BOT,500,Internal Server Error,172.19.252.206:1099-Thread Group 1-1,text,false,,362,513,5,5,https://ica-backend-js-stage.interfacechatbotapplication.chat/app/v1/ask-bot,1593,0,0
1711000961479,902,Ask BOT,500,Internal Server Error,172.19.252.206:1099-Thread Group 1-5,text,false,,362,513,5,5,https://ica-backend-js-stage.interfacechatbotapplication.chat/app/v1/ask-bot,902,0,0
1711000960230,2245,Ask BOT,500,Internal Server Error,172.19.252.206:1099-Thread Group 1-4,text,false,,362,513,5,5,https://ica-backend-js-stage.interfacechatbotapplication.chat/app/v1/ask-bot,2245,0,0
1711000961975,1198,Ask BOT,500,Internal Server Error,172.19.252.206:1099-Thread Group 1-3,text,false,,362,513,5,5,https://ica-backend-js-stage.interfacechatbotapplication.chat/app/v1/ask-bot,1198,0,0
1711000961978,1300,Ask BOT,500,Internal Server Error,172.19.252.206:1099-Thread Group 1-2,text,false,,362,513,5,5,https://ica-backend-js-stage.interfacechatbotapplication.chat/app/v1/ask-bot,1300,0,0
1711000962273,1206,Ask BOT,500,Internal Server Error,172.19.252.206:1099-Thread Group 1-1,text,false,,362,513,5,5,https://ica-backend-js-stage.interfacechatbotapplication.chat/app/v1/ask-bot,1206,0,0
1711000962381,1191,Ask BOT,500,Internal Server Error,172.19.252.206:1099-Thread Group 1-5,text,false,,362,513,5,5,https://ica-backend-js-stage.interfacechatbotapplication.chat/app/v1/ask-bot,1191,0,0
1711000962475,1404,Ask BOT,500,Internal Server Error,172.19.252.206:1099-Thread Group 1-4,text,false,,362,513,5,5,https://ica-backend-js-stage.interfacechatbotapplication.chat/app/v1/ask-bot,1404,0,0
1711000963174,1004,Ask BOT,500,Internal Server Error,172.19.252.206:1099-Thread Group 1-3,text,false,,362,513,5,5,https://ica-backend-js-stage.interfacechatbotapplication.chat/app/v1/ask-bot,1004,0,0
1711000963278,1104,Ask BOT,500,Internal Server Error,172.19.252.206:1099-Thread Group 1-2,text,false,,362,513,5,5,https://ica-backend-js-stage.interfacechatbotapplication.chat/app/v1/ask-bot,1104,0,0
1711000855149,50019,Ask BOT,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: ica-backend-js-stage.interfacechatbotapplication.chat:443 failed to respond,172.19.252.205:1099-Thread Group 1-2,text,false,,2110,0,5,5,https://ica-backend-js-stage.interfacechatbotapplication.chat/app/v1/ask-bot,0,0,15
1711000855349,50020,Ask BOT,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: ica-backend-js-stage.interfacechatbotapplication.chat:443 failed to respond,172.19.252.205:1099-Thread Group 1-3,text,false,,2110,0,5,5,https://ica-backend-js-stage.interfacechatbotapplication.chat/app/v1/ask-bot,0,0,15
1711000855549,50017,Ask BOT,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: ica-backend-js-stage.interfacechatbotapplication.chat:443 failed to respond,172.19.252.205:1099-Thread Group 1-4,text,false,,2110,0,5,5,https://ica-backend-js-stage.interfacechatbotapplication.chat/app/v1/ask-bot,0,0,13
1711000855749,50022,Ask BOT,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: ica-backend-js-stage.interfacechatbotapplication.chat:443 failed to respond,172.19.252.205:1099-Thread Group 1-5,text,false,,2110,0,5,5,https://ica-backend-js-stage.interfacechatbotapplication.chat/app/v1/ask-bot,0,0,18
1711000904368,50006,Ask BOT,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: ica-backend-js-stage.interfacechatbotapplication.chat:443 failed to respond,172.19.252.205:1099-Thread Group 1-1,text,false,,2110,0,5,5,https://ica-backend-js-stage.interfacechatbotapplication.chat/app/v1/ask-bot,0,0,0
1711000905169,50013,Ask BOT,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: ica-backend-js-stage.interfacechatbotapplication.chat:443 failed to respond,172.19.252.205:1099-Thread Group 1-2,text,false,,2110,0,5,5,https://ica-backend-js-stage.interfacechatbotapplication.chat/app/v1/ask-bot,0,0,9
1711000905370,50013,Ask BOT,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: ica-backend-js-stage.interfacechatbotapplication.chat:443 failed to respond,172.19.252.205:1099-Thread Group 1-3,text,false,,2110,0,5,5,https://ica-backend-js-stage.interfacechatbotapplication.chat/app/v1/ask-bot,0,0,8
1711000905568,50013,Ask BOT,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: ica-backend-js-stage.interfacechatbotapplication.chat:443 failed to respond,172.19.252.205:1099-Thread Group 1-4,text,false,,2110,0,5,5,https://ica-backend-js-stage.interfacechatbotapplication.chat/app/v1/ask-bot,0,0,8
1711000905772,50013,Ask BOT,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: ica-backend-js-stage.interfacechatbotapplication.chat:443 failed to respond,172.19.252.205:1099-Thread Group 1-5,text,false,,2110,0,5,5,https://ica-backend-js-stage.interfacechatbotapplication.chat/app/v1/ask-bot,0,0,9
1711000955784,4437,Ask BOT,500,Internal Server Error,172.19.252.205:1099-Thread Group 1-5,text,false,,362,513,5,5,https://ica-backend-js-stage.interfacechatbotapplication.chat/app/v1/ask-bot,4437,0,13
1711000955580,4647,Ask BOT,500,Internal Server Error,172.19.252.205:1099-Thread Group 1-4,text,false,,362,513,5,5,https://ica-backend-js-stage.interfacechatbotapplication.chat/app/v1/ask-bot,4647,0,13
1711000955383,4849,Ask BOT,500,Internal Server Error,172.19.252.205:1099-Thread Group 1-3,text,false,,362,513,5,5,https://ica-backend-js-stage.interfacechatbotapplication.chat/app/v1/ask-bot,4849,0,13
1711000955182,5290,Ask BOT,500,Internal Server Error,172.19.252.205:1099-Thread Group 1-2,text,false,,362,513,5,5,https://ica-backend-js-stage.interfacechatbotapplication.chat/app/v1/ask-bot,5290,0,8
1711000954373,6304,Ask BOT,500,Internal Server Error,172.19.252.205:1099-Thread Group 1-1,text,false,,362,513,5,5,https://ica-backend-js-stage.interfacechatbotapplication.chat/app/v1/ask-bot,6304,0,8
1711000960221,1256,Ask BOT,500,Internal Server Error,172.19.252.205:1099-Thread Group 1-5,text,false,,362,513,5,5,https://ica-backend-js-stage.interfacechatbotapplication.chat/app/v1/ask-bot,1256,0,0
1711000960232,1549,Ask BOT,500,Internal Server Error,172.19.252.205:1099-Thread Group 1-3,text,false,,362,513,5,5,https://ica-backend-js-stage.interfacechatbotapplication.chat/app/v1/ask-bot,1549,0,0
1711000960473,1506,Ask BOT,500,Internal Server Error,172.19.252.205:1099-Thread Group 1-2,text,false,,362,513,5,5,https://ica-backend-js-stage.interfacechatbotapplication.chat/app/v1/ask-bot,1506,0,0
